Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC
spotify:track:04xLqOwtmMjz74y9bM677s,California Dreamin',spotify:artist:3oDbviiivRWhXwIE8hxkVV,The Beach Boys,spotify:album:62YEXS8uOu8fUlCrU3ideq,"Stranger Things: Soundtrack from the Netflix Series, Season 4",spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,5/27/2022,https://i.scdn.co/image/ab67616d0000b273fe8fbfb90a20a9c725714709,1,2,201750,https://p.scdn.co/mp3-preview/d3d673938d66a4caf3c2f297e9994f2983a15cdb?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,0,USGJP1300250
spotify:track:6cbZb9mVAc5s8HtwklLoI0,Cheguei,spotify:artist:3CDoRporvSjdzTrm99a3gi,LUDMILLA,spotify:album:4JZQXCD2TwUZmxSLlMDRoX,A danada sou eu,spotify:artist:3CDoRporvSjdzTrm99a3gi,LUDMILLA,10/21/2016,https://i.scdn.co/image/ab67616d0000b27359d95eeb37d902cc3287b574,1,1,174056,https://p.scdn.co/mp3-preview/103cdebc25a14164d0c14dc671d4f93ed48aa4e3?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,52,BRWMB1600423
spotify:track:7oVEtyuv9NBmnytsCIsY5I,BURN IT DOWN,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,Linkin Park,spotify:album:4XHIjbhjRmqWlosjj5rqSI,LIVING THINGS,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,Linkin Park,6/19/2012,https://i.scdn.co/image/ab67616d0000b273987fb4c5ec8790e9f637a4a4,1,3,230253,https://p.scdn.co/mp3-preview/db2e04088575f248a4f0baf09b9165f18dd31ebb?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,79,USWB11200587
spotify:track:6bUNEbXT7HovLW6BgPCBsb,Roses,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,Outkast,spotify:album:1UsmQ3bpJTyK6ygoOOjG1r,Speakerboxxx/The Love Below,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,Outkast,2003,https://i.scdn.co/image/ab67616d0000b2736e88eb6508fd94cd1b745ce2,2,10,369573,https://p.scdn.co/mp3-preview/a58d1bc80d322dfdc2abb69853af0170b4270acd?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,74,USAR10301000
spotify:track:2H1047e0oMSj10dgp7p2VG,I Gotta Feeling,spotify:artist:1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,spotify:album:3lng6RAtdksQ2q02Fk5jaB,THE E.N.D. (THE ENERGY NEVER DIES),spotify:artist:1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,1/1/2009,https://i.scdn.co/image/ab67616d0000b273382514f0114ba8f4a16d5db4,1,5,289133,https://p.scdn.co/mp3-preview/b3398fc473e546c85e965482e7b908342c46b7b2?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,79,USUM70965169
spotify:track:1bM50INir8voAkVoKuvEUI,OMG (feat. will.i.am),"spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:085pc2PYOi8bGKj0PNjekA","USHER, will.i.am",spotify:album:6A1F3Fkq5dYeYYNkXflcTX,Raymond v Raymond (Expanded Edition),spotify:artist:23zg3TcAtWQy7J6upgbUnj,USHER,3/30/2010,https://i.scdn.co/image/ab67616d0000b27386b0c9728ad3ed338eaeea79,1,6,269493,https://p.scdn.co/mp3-preview/8f6be8d3bdadf51fe002ebffe58107e28ae12314?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,81,USLF20900103
spotify:track:5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),"spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi","USHER, Lil Jon, Ludacris",spotify:album:1RM6MGv6bcl6NrAG8PGoZk,Confessions (Expanded Edition),spotify:artist:23zg3TcAtWQy7J6upgbUnj,USHER,3/23/2004,https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da,1,2,250373,https://p.scdn.co/mp3-preview/1eca1cb525c2b0df2ecba52f1105f139323e09a2?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,88,USAR10301423
spotify:track:1nZzRJbFvCEct3uzu04ZoL,Part Of Me,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,spotify:album:5BvgP623rtvlc0HDcpzquz,Teenage Dream: The Complete Confection,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,3/12/2012,https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616,1,14,216160,https://p.scdn.co/mp3-preview/7a454631475bbbeaa6b2b414b6c924fafeaf6fcd?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,77,USCA21102809
spotify:track:5qHYXcVvc9xsFB2uH7GpMN,Kokomo,spotify:artist:3oDbviiivRWhXwIE8hxkVV,The Beach Boys,spotify:album:47VjIh8rgyMJJHNR98w0Kw,The Very Best Of The Beach Boys: Sounds Of Summer,spotify:artist:3oDbviiivRWhXwIE8hxkVV,The Beach Boys,1/1/2003,https://i.scdn.co/image/ab67616d0000b273c5634c0532097e175199f07e,1,25,217692,https://p.scdn.co/mp3-preview/8a33ab47e93de0203c7e3fd39fc41d5513884d4e?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,74,USNPD0713481
spotify:track:4fXFb1WdpPVU6Yup1F5a5K,I'll Do It - Sped Up Version,spotify:artist:5XLBtYR2VrpkqXdlvNnFHG,Heidi Montag,spotify:album:5UKDPRUvUae1NhfhsYZiQp,I'll Do It,spotify:artist:5XLBtYR2VrpkqXdlvNnFHG,Heidi Montag,5/12/2023,https://i.scdn.co/image/ab67616d0000b273965b794fa42918a073d0b751,1,3,197254,https://p.scdn.co/mp3-preview/9e7eba3d9a023505b7788b4dff3654f5f660050f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,66,ZZOPM2343650
spotify:track:6t28bWFyPoek673U0f9Dpz,Christmas Tv,spotify:artist:75Kh0eqgzo9f43Dan1JzSV,Slow Club,spotify:album:0BSrHJa12IF5w1degQUkyF,"Christmas, Thanks For Nothing",spotify:artist:75Kh0eqgzo9f43Dan1JzSV,Slow Club,12/14/2010,https://i.scdn.co/image/ab67616d0000b273a8fbc3112f23a9b5b45a737d,1,6,272426,https://p.scdn.co/mp3-preview/ed4b5ceea616dbff6826f41527dc99e60f1438d5?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,0,GBGEY0900156
spotify:track:5A6OHHy73AR5tLxgTc98zz,Black and Yellow,spotify:artist:137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,spotify:album:6ZOXiVL8rmk2ATHJiFJhiD,Rolling Papers,spotify:artist:137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,3/29/2011,https://i.scdn.co/image/ab67616d0000b273fe3cf32b1320e8ded39d8c74,1,3,217666,https://p.scdn.co/mp3-preview/971e63e8dd67db27dccb59dab22a559bcb31b22c?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,78,USAT21001800
spotify:track:5RKQ5NdjSh2QzD4MaunT91,Don't Stop Believin' (2022 Remaster),spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,Journey,spotify:album:4guAwaniEAEQSW0NCpo4gm,Escape (2022 Remaster),spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,Journey,7/17/1981,https://i.scdn.co/image/ab67616d0000b27363fa4751355b66f236943275,1,1,249600,https://p.scdn.co/mp3-preview/50923c629a4d9ab470b0ca6a10495ecb945c1500?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,88,USSM18100116
spotify:track:7MnT7msJZg3XBAS0OTfGrB,Tempo Perdido,spotify:artist:6tw6EpC9RgmSRZiZg0n22t,Legião Urbana,spotify:album:4OCJTpOLqSgysGY4yBCGhn,Dois,spotify:artist:6tw6EpC9RgmSRZiZg0n22t,Legião Urbana,1/1/1986,https://i.scdn.co/image/ab67616d0000b2731eb5e996639036a49b09f1e5,1,6,302200,https://p.scdn.co/mp3-preview/f4da817032001471ba40cfd9f112b737e28d062c?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,76,BREMI8600025
spotify:track:4NAraLVJxtLPJhmKKVklKa,Mistakes,spotify:artist:6fWVd57NKTalqvmjRd2t8Z,24kGoldn,spotify:album:2gdsRtb1ckC5S0sC2VxwTJ,Mistakes,spotify:artist:6fWVd57NKTalqvmjRd2t8Z,24kGoldn,9/30/2022,https://i.scdn.co/image/ab67616d0000b2739463aeb0447010260b9b6bd9,1,1,149451,https://p.scdn.co/mp3-preview/4bd35a6e1fbe04a41f1b204a7112120477a168d9?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,43,USQX92204733
spotify:track:4DvhkX2ic4zWkQeWMwQ2qf,Like A G6,"spotify:artist:698hF4vcwHwPy8ltmXermq, spotify:artist:7C64wNX3howEFZjAYRKsfP, spotify:artist:7Ip2u3e5Nv6fFb5xyIHxEE","Far East Movement, The Cataracs, DEV",spotify:album:1TuKgkCGIxiIns9Bc5XKRC,Free Wired,spotify:artist:698hF4vcwHwPy8ltmXermq,Far East Movement,1/1/2010,https://i.scdn.co/image/ab67616d0000b27358b08d62231dfca8d358b876,1,2,216893,https://p.scdn.co/mp3-preview/c582b7a59c285d2396c0695999a48d69d5495fe3?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,74,USUM71008138
spotify:track:0yIywEquxORnu1dR0WYsdN,Love Me,spotify:artist:1uNFoZAHBGtllmzznpCI3s,Justin Bieber,spotify:album:1rG5TDs3jYh6OU753I54CI,My World,spotify:artist:1uNFoZAHBGtllmzznpCI3s,Justin Bieber,1/1/2009,https://i.scdn.co/image/ab67616d0000b2737c3bb9f74a98f60bdda6c9a7,1,7,191573,https://p.scdn.co/mp3-preview/1b3ba6eb1dfb87efbdea6e12e45023a736e3bdd4?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,71,USUM70902893
